name, time, value
rand-3-10-20-5.1.ssat, 0.000233889, 0.748158
rand-3-10-20-5.2.ssat, 0.000231028, 0.543753
rand-3-10-20-5.3.ssat, 0.00022006, 0.304383
rand-3-10-20-5.4.ssat, 0.000247002, 0.23937
rand-3-10-20-5.5.ssat, 0.000247955, 0.205139
rand-3-10-30-5.10.ssat, 0.000244856, 0.0744398
rand-3-10-30-5.6.ssat, 0.000269175, 0.15753
rand-3-10-30-5.7.ssat, 0.000250101, 0.169337
rand-3-10-30-5.8.ssat, 0.000238895, 0.0342314
rand-3-10-30-5.9.ssat, 0.000267982, 0.058286
rand-3-10-40-5.11.ssat, 0.000252962, 0.0543356
rand-3-10-40-5.12.ssat, 0.000226021, 0.086247
rand-3-10-40-5.13.ssat, 0.000215054, 0
rand-3-10-40-5.14.ssat, 0.000247955, 0.0201042
rand-3-10-40-5.15.ssat, 0.000235081, 0.250047
rand-3-10-50-5.16.ssat, 0.000247955, 0
rand-3-10-50-5.17.ssat, 0.00028801, 0.058286
rand-3-10-50-5.18.ssat, 0.000234842, 0
rand-3-10-50-5.19.ssat, 0.000237942, 0
rand-3-10-50-5.20.ssat, 0.000249147, 0.0925174
rand-3-20-100-10.36.ssat, 0.000355005, 0
rand-3-20-100-10.37.ssat, 0.000361204, 0
rand-3-20-100-10.38.ssat, 0.000323057, 0
rand-3-20-100-10.39.ssat, 0.000319958, 0
rand-3-20-100-10.40.ssat, 0.000342131, 0
rand-3-20-40-10.21.ssat, 0.000427961, 0.0897366
rand-3-20-40-10.22.ssat, 0.000633955, 0.07155
rand-3-20-40-10.23.ssat, 0.000904083, 0.0693098
rand-3-20-40-10.24.ssat, 0.000762939, 0.0996924
rand-3-20-40-10.25.ssat, 0.000516891, 0.140124
rand-3-20-60-10.26.ssat, 0.000441074, 0.00819399
rand-3-20-60-10.27.ssat, 0.000360966, 0.0117265
rand-3-20-60-10.28.ssat, 0.000491858, 0.0130063
rand-3-20-60-10.29.ssat, 0.000503063, 0.0354131
rand-3-20-60-10.30.ssat, 0.000470877, 0.0197364
rand-3-20-80-10.31.ssat, 0.000351906, 0
rand-3-20-80-10.32.ssat, 0.000479937, 0.0038552
rand-3-20-80-10.33.ssat, 0.00037694, 0.00185999
rand-3-20-80-10.34.ssat, 0.000412941, 0.0037706
rand-3-20-80-10.35.ssat, 0.000372887, 0.00165989
rand-3-30-120-15.51.ssat, 0.000552893, 0.000108411
rand-3-30-120-15.52.ssat, 0.000546932, 0
rand-3-30-120-15.53.ssat, 0.000665903, 0.000391854
rand-3-30-120-15.54.ssat, 0.000579119, 0.0010849
rand-3-30-120-15.55.ssat, 0.000524044, 6.8299e-05
rand-3-30-150-15.56.ssat, 0.000544071, 0
rand-3-30-150-15.57.ssat, 0.000555038, 2.04728e-05
rand-3-30-150-15.58.ssat, 0.000573874, 0
rand-3-30-150-15.59.ssat, 0.00057292, 0
rand-3-30-150-15.60.ssat, 0.000541925, 0
rand-3-30-60-15.41.ssat, 0.00149393, 0.054078
rand-3-30-60-15.42.ssat, 0.00248504, 0.0218138
rand-3-30-60-15.43.ssat, 0.00290203, 0.0348268
rand-3-30-60-15.44.ssat, 0.00827098, 0.00819162
rand-3-30-60-15.45.ssat, 0.00189614, 0.0228371
rand-3-30-90-15.46.ssat, 0.00109196, 0.00559158
